Mota;Galdera;Irudia;Zuzena;Oker1;Oker2;Jatorria;Esteka;Egilea;
Distantziak;Zein da Leioa eta Burgu herrien arteko distantzia zuzena?;;72;49;80;;;Josu Loidi;
Distantziak;Zein da Itsasu eta Bermeo herrien arteko distantzia zuzena?;;146;117;163;;;Josu Loidi;
Distantziak;Zein da Olexoa eta Oltza zendea herrien arteko distantzia zuzena?;;48;41;66;;;Josu Loidi;
Distantziak;Zein da Oiartzun eta Aiara herrien arteko distantzia zuzena?;;137;120;148;;;Josu Loidi;
Distantziak;Zein da Legorreta eta Arama herrien arteko distantzia zuzena?;;3;4;2;;;Josu Loidi;
Distantziak;Zein da Banka eta Zuñiga herrien arteko distantzia zuzena?;;113;99;123;;;Josu Loidi;
Distantziak;Zein da Bedia eta Arberatze-Zilhekoa herrien arteko distantzia zuzena?;;202;197;267;;;Josu Loidi;
Distantziak;Zein da Uhartehiri eta Amorotze-Zokotze herrien arteko distantzia zuzena?;;14;8;14;;;Josu Loidi;
Distantziak;Zein da Aribe eta Milafranga herrien arteko distantzia zuzena?;;59;39;65;;;Josu Loidi;
Distantziak;Zein da Bilbo eta Cortes herrien arteko distantzia zuzena?;;226;121;262;;;Josu Loidi;
Distantziak;Zein da Sartze eta Erriberri herrien arteko distantzia zuzena?;;73;104;96;;;Josu Loidi;
Distantziak;Zein da Añana eta Beire herrien arteko distantzia zuzena?;;156;170;229;;;Josu Loidi;
Distantziak;Zein da Xabier eta Olatzagutia herrien arteko distantzia zuzena?;;114;137;153;;;Josu Loidi;
Distantziak;Zein da Larzabale-Arroze-Zibitze eta Ahatsa-Altzieta-Bazkazane herrien arteko distantzia zuzena?;;12;13;10;;;Josu Loidi;
Distantziak;Zein da Etxebarre eta Leatxe herrien arteko distantzia zuzena?;;78;54;57;;;Josu Loidi;
Distantziak;Zein da Elo eta Deikaztelu herrien arteko distantzia zuzena?;;59;83;38;;;Josu Loidi;
Distantziak;Zein da Bermeo eta Gotaine-Irabarne herrien arteko distantzia zuzena?;;203;285;112;;;Josu Loidi;
Distantziak;Zein da Erronkari eta Donapaleu herrien arteko distantzia zuzena?;;59;65;75;;;Josu Loidi;
Distantziak;Zein da Esprontzeda eta Deba herrien arteko distantzia zuzena?;;78;98;47;;;Josu Loidi;
Distantziak;Zein da Ibargoiti eta Legazpi herrien arteko distantzia zuzena?;;105;98;69;;;Josu Loidi;
Distantziak;Zein da Ollaran eta Itsasu herrien arteko distantzia zuzena?;;71;103;105;;;Josu Loidi;
